iter	Passed	Remaining
539	28054	6442
540	28136	6397
541	28207	6349
542	28270	6299
543	28345	6252
544	28430	6207
545	28503	6160
546	28580	6113
547	28648	6064
548	28730	6018
549	28800	5969
550	28871	5920
551	28947	5873
552	29029	5826
553	29095	5777
554	29167	5728
555	29239	5679
556	29327	5633
557	29381	5581
558	29420	5526
559	29462	5471
560	29506	5417
561	29547	5362
562	29588	5308
563	29630	5253
564	29675	5199
565	29717	5145
566	29760	5091
567	29820	5040
568	29893	4991
569	29952	4939
570	30015	4888
571	30072	4836
572	30157	4789
573	30232	4740
574	30305	4690
575	30377	4641
576	30465	4593
577	30535	4543
578	30602	4492
579	30673	4442
580	30752	4393
581	30818	4342
582	30885	4291
583	30954	4240
584	31040	4191
585	31114	4141
586	31185	4090
587	31253	4039
588	31330	3989
589	31383	3936
590	31460	3885
591	31527	3834
592	31603	3783
593	31672	3732
594	31754	3682
595	31826	3631
596	31901	3580
597	31981	3529
598	32052	3478
599	32124	3426
600	32207	3376
601	32257	3322
602	32297	3267
603	32336	3212
604	32384	3158
605	32424	3103
606	32470	3049
607	32516	2994
608	32560	2940
609	32604	2886
610	32645	2831
611	32691	2777
612	32772	2726
613	32849	2675
614	32921	2623
615	32991	2570
616	33071	2519
617	33139	2466
618	33205	2413
619	33272	2361
620	33361	2310
621	33435	2257
622	33500	2204
623	33565	2151
624	33647	2099
625	33716	2046
626	33786	1993
627	33860	1941
628	33925	1887
629	33986	1834
630	34051	1780
631	34134	1728
632	34212	1675
633	34289	1622
634	34358	1569
635	34420	1515
636	34475	1461
637	34541	1407
638	34613	1354
639	34694	1301
640	34777	1247
641	34861	1194
642	34934	1140
643	35008	1087
644	35082	1033
645	35154	979
646	35210	925
647	35288	871
648	35357	817
649	35423	762
650	35499	708
651	35551	654
652	35609	599
653	35669	545
654	35741	491
655	35812	436
656	35881	382
657	35943	327
658	36001	273
659	36090	218
660	36153	164
661	36229	109
662	36294	54
663	36362	0
