iter	Logloss
0	0.6323763585
1	0.5737909367
2	0.5231667044
3	0.4834097058
4	0.451680472
5	0.4226243467
6	0.3941597624
7	0.3681987882
8	0.3509254365
9	0.3339258811
10	0.3188522285
11	0.3086228582
12	0.2971436499
13	0.286465119
14	0.2787792333
15	0.2703067901
16	0.2636336902
17	0.2569113929
18	0.2526070698
19	0.2475905103
20	0.2440689929
21	0.2412405017
22	0.2378131838
23	0.2351932589
24	0.2328271984
25	0.2309216955
26	0.2292800926
27	0.2272373701
28	0.226224205
29	0.2243684444
30	0.2233724333
31	0.2222358405
32	0.2210316106
33	0.2202026199
34	0.2194926648
35	0.2186566089
36	0.2177244845
37	0.2169221858
38	0.2162119337
39	0.2155037772
40	0.214662851
41	0.2142582635
42	0.2138990187
43	0.2135356131
44	0.2129200021
45	0.2124720612
46	0.2121213332
47	0.211579232
48	0.2112935609
49	0.2109909022
50	0.2104935824
51	0.2100844992
52	0.2097303358
53	0.2095797289
54	0.2094179685
55	0.2090061499
56	0.20881783
57	0.2085276718
58	0.208355505
59	0.2080886646
60	0.2079629691
61	0.2078614752
62	0.2076249952
63	0.2075006158
64	0.2072569427
65	0.2069954296
66	0.2069224504
67	0.2068341165
68	0.2065415935
69	0.2064467005
70	0.2062708184
71	0.2062048303
72	0.2060990227
73	0.2060359386
74	0.205918359
75	0.2058143714
76	0.2056454068
77	0.2055362014
78	0.2054436595
79	0.2053846947
80	0.2052782204
81	0.205159718
82	0.2051015166
83	0.2050458182
84	0.2049859097
85	0.2048995231
86	0.2048017304
87	0.2046880749
88	0.2045977317
89	0.2045218065
90	0.2044268979
91	0.2043638678
92	0.2042389219
93	0.2041558157
94	0.2040868126
95	0.2040319213
96	0.2039629544
97	0.2038832339
98	0.2037927232
99	0.2036713745
100	0.2036134924
101	0.2034615916
102	0.2033807075
103	0.2032898017
104	0.2031951172
105	0.2030968772
106	0.2029908873
107	0.2028727795
108	0.2028143687
109	0.2027276661
110	0.202650123
111	0.2025653417
112	0.2025170962
113	0.2024360308
114	0.2023513527
115	0.2022586328
116	0.2021757038
117	0.202120111
118	0.2019904188
119	0.2019640173
120	0.20187451
121	0.2018335799
122	0.2017601823
123	0.2016968298
124	0.2015680783
125	0.201532111
126	0.2014504021
127	0.2013847289
128	0.201300152
129	0.2012625389
130	0.2011832751
131	0.2011455537
132	0.2010601623
133	0.2009704945
134	0.2009105947
135	0.2008549058
136	0.2007995008
137	0.2007637218
138	0.2007197721
139	0.2006850793
140	0.2006326743
141	0.2005703933
142	0.200505505
143	0.2004280709
144	0.2003700882
145	0.2003145119
146	0.2002837021
147	0.2001855718
148	0.2001350099
149	0.2000767458
150	0.2000309464
151	0.1999766019
152	0.1999379835
153	0.1998858916
154	0.1998313278
155	0.1997828283
156	0.19972425
157	0.1996436952
158	0.1996109927
159	0.199595542
160	0.199566429
161	0.1995165699
162	0.1994560493
163	0.199414731
164	0.1993545305
165	0.1993122382
166	0.1992326822
167	0.1991801992
168	0.1991336647
169	0.1990965373
170	0.19905131
171	0.1989999636
172	0.1989135969
173	0.198888389
174	0.1988459331
175	0.1988081134
176	0.198704087
177	0.1986751619
178	0.1986336448
179	0.1985863302
180	0.1985432805
181	0.1984614989
182	0.1984163204
183	0.1983732122
184	0.1983006167
185	0.1982528515
186	0.1982010704
187	0.1981465187
188	0.1980862341
189	0.1980315555
190	0.1979730683
191	0.1979372388
192	0.1979010905
193	0.1978440447
194	0.1978152101
195	0.1977734693
196	0.1977197523
197	0.1976546881
198	0.1976115653
199	0.1975747922
